BPOS,V1,A1,V2,A2,V3,A3,V4,A4,V5,A5,V6,A6,V7,A7,V8,A8,V9,A9,V10,A10,V11,A11,V12,A12,V13,A13,V14,A14,APP_AMPS,CLMBS,FRNT,ROOF,RH_WNG,LH_WNG,REAR
118,0,0,0,0,1,0,1,0,1,0,3,0,265,52,265,119,265,34,0,0,0,0,0,0,3,0,290,48,253,59108,54.34004731,46.91882286,48.62692382,48.79295325,54.32125276
119,0,0,0,0,1,0,1,0,1,0,2,0,265,45,265,120,265,40,0,0,0,0,0,0,2,0,290,47,252,59612,54.2798838,46.83619114,48.16877008,48.42674213,54.28841286
120,0,0,0,0,1,0,1,0,1,0,2,0,265,37,265,120,265,46,0,0,0,0,0,0,2,0,290,47,250,60112,54.04375786,46.69662842,47.4614786,47.78595193,54.01218318
121,0,0,0,0,1,0,1,0,1,0,2,0,265,30,265,119,265,53,0,0,0,0,1,0,2,0,290,47,249,60610,53.9500983,46.75831738,46.95810819,47.27024437,54.06323175
122,0,0,0,0,1,0,1,0,1,0,2,0,265,25,265,117,265,59,109,0,0,0,1,0,2,0,290,46,247,61104,52.68411713,46.62713003,46.49958717,46.75929589,54.42986978
123,0,0,0,0,1,0,1,0,1,0,2,0,265,19,265,112,267,50,275,23,0,0,0,0,2,0,290,45,249,61602,53.13106062,47.25624066,46.9699484,47.13858136,54.50416896
124,0,0,0,0,1,0,1,0,1,0,2,0,190,0,265,115,265,60,265,20,0,0,0,0,2,0,290,52,247,62096,52.47639466,47.02437379,46.83257767,46.89315514,53.77349873
125,0,0,0,0,1,0,1,0,1,0,2,0,104,0,265,108,265,66,265,22,0,0,0,0,2,0,290,50,246,62588,51.81643193,46.91743271,47.03327537,47.02811235,53.20474764
126,0,0,0,0,1,0,1,0,1,0,2,0,62,0,265,102,265,71,265,25,0,0,1,0,2,0,290,48,246,63080,51.36898697,46.99875029,47.47950155,47.44662606,52.70613513
127,0,0,0,0,1,0,1,0,1,0,2,0,36,0,265,94,265,76,265,29,0,0,1,0,2,0,290,47,246,63572,50.9109421,46.94525895,47.83751442,47.91583303,52.39045149
